127.0.0.1 - - [11/Mar/2023:22:32:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:36 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:43 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:32:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:33:51 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12458
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:33:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:33:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:34:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:34:56 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:16 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18223
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:19 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 16623
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:26 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 18514
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:22:35:37 +0530] "GET /project_3/doc/type-search-index.js HTTP/1.1" 304 -
